english_sentence,korean_sentence
"The house was clean and bright.","집이 깨끗하고 밝았어요."
"I feel a bit lonely as I live alone.","혼자 살아서 좀 외로워요."
"I have a part-time job after class.","저는 수업이 끝나고 아르바이트를 해요."
"Isn't a house near our school expensive?","우리 학교 근처는 집값이 비싸지 않아요?"
"Then, let's meet this weekend to study together.","그럼 이번 주말에 만나서 같이 공부해요."
"I'm going back in a week.","일주일 후에 갈 거예요."
"I'm going back to my hometown after I travel around.","여행을 한 후에 고향에 돌아갈 거예요."
"That singer's concert is really popular, so let's hurry and book the tickets.","그 가수의 콘서트는 인기가 많으니까 빨리 예매합시다."
"The performance is about to begin. So please come quickly.","공연이 곧 시작되니까 빨리 오세요."
"I got here ten minutes ago.","저도 10분 전에 왔어요."
"That singer sings really well, doesn't he?","저 가수 노래 정말 잘하지요?"
"I listened to them a lot before I came to the concert.","콘서트에 오기 전에 많이 들었어요."
"I will definitely get his signature when I go to his next concert.","다음 콘서트에 가면 꼭 사인을 받을 거예요."
"Isn't it a pizza house?","거기 피자집 아니에요?"
"Why don't you ask Ms. Seoyon?","서연 씨한테 한번 물어보세요."
"Can you write it down now?","지금 적을 수 있어요?"
"The line remains busy.","계속 통화 중이에요."
"I can't speak on the phone right now.","지금은 제가 전화를 받을 수 없어요."
"It's not urgent, so I will call later.","급한 일이 아니니까 나중에 다시 걸게요."
"I know how to play golf.","골프를 칠 줄 알아요."
"I don't know how to inline skate.","저는 인라인스케이트를 탈 줄 몰라요."
"Let's play with mine.","제 것으로 칩시다."
"I wanted to become a baseball player.","야구 선수가 되고 싶었어요."
"Only my elder brother can't go because he has work to do.","일이 있어서 우리 형만 못 가요."
"I do for about an hour a day.","하루에 한 시간쯤 해요."
"The vacation is long.","방학이 기네요."
"What are you going to do during the holidays?","휴가 때 뭐 할 거예요?"
"Shall we go together?","같이 갈래요?"
"Would you like to come directly to the train station?","기차역으로 바로 오실래요?"
"I are going to go to a nearby island.","가까운 섬으로 가려고 해요."
"I am not going though.","저는 안 가려고 해요."
"It is a gift from my friend and I like it a lot.","친구가 준 선물인데 아주 마음에 들어요."
"Did you cry when you were separated?","헤어질 때 울었어요?"
"It is a picture that I took when I went on a trip to France.","프랑스에 여행을 갔을 때 찍은 사진이에요."
"I was on my way home and it followed me.","제가 집에 가는데 저를 따라왔어요."
"I dropped my earring, but I can't find it.","귀걸이가 떨어졌는데 안 보여요."
"He signed his signature on my palm.","제 손바닥에 사인을 해 줬어요."
"Would you please show me the way?","길 좀 가르쳐 주시겠어요?"
"Can you take care of my puppy?","우리 강아지 좀 돌봐 줄 수 있어요?"
"Thank you for giving me a ride home.","집까지 태워 주셔서 고맙습니다."
"I'll give it to her.","제가 전해 드릴게요."
"Do you want me to move your stuff?","제가 짐을 옮겨 드릴까요?"
"I was going to leave it at the service center.","저는 서비스 센터에 맡기려고 했어요."
"The room is so messy, so I an cleaning it.","방이 너무 더러워서 청소를 하고 있어요."
"Please put on gloves over there. With gloves on, please wash the dishes.","저쪽에 있는 장갑을 끼고 설거지를 하세요."
"I personally sweep and mop without using a vacuum cleaner.","저는 청소기를 쓰지 않고 직접 쓸고 닦아요."
"Why are you wearing an apron?","왜 앞치마를 하고 있어요?"
"What are you doing now?","지금 뭐 하고 계세요?"
"Among household chores, what is the most bothersome?","집안일 중에서 뭐가 제일 귀찮아요?"
"Who do you like most in our club?","우리 동호회에서 누가 제일 마음에 들어요?"
"It seems to be watching movies.","영화 감상인 것 같아요."
"It seems that Ms. Seoyon has a lot of work at her company.","서연 씨는 회사 일이 많은 것 같아요."
"Do you think Ms. Seoyon also likes you, Mr. Steve?","서연 씨도 스티브 씨를 좋아하는 것 같아요?"
"It seems that Ms. Seoyon majored in English literature.","서연 씨는 영문학을 전공한 것 같아요."
"I guess she would not like a stuffed animal.","인형은 싫어할 것 같아요."
"I also eat late night snack often.","야식도 자주 먹고요."
"It seems that I don't sleep well because of stress.","스트레스 때문에 잠을 못 자는 것 같아요."
"There are many people who have caught a cold because of the seasonal change these days.","요즘 환절기이기 때문에 감기에 걸린 사람이 많아요."
"I drink a lot of coffee because I feel sleepy when I don't drink it.","저는 커피를 안 마시면 졸리기 때문에 커피를 많이 마셔요."
"It's because of a cold.","감기 때문이에요."
"If you eat too much instant food, your health will worsen.","인스턴트식품을 많이 먹으면 건강이 나빠져요."
"I've been stressed out lately because of my work, so my health has gotten worse.","요즘 일 때문에 스트레스가 쌓여서 건강이 나빠졌어요."
"My health has gotten worse, so I want to start exercise.","건강이 좀 안 좋아져서 운동을 시작하려고요."
"I have tried practicing yoga for about two months.","두 달 정도 요가를 해 봤어요."
"I haven't exercised.","운동을 안 해 봤어요."
"Please do some warm ups first before you start exercise.","운동하시기 전에 준비 운동부터 하세요."
"You should exercise three times a week.","일주일에 세 번은 운동을 하셔야 해요."
"I am searching information to go on a family trip.","가족 여행을 가려고 알아보고 있어요."
"I want to travel around the country; do you know a good place to go?","국내 여행을 하고 싶은데 좋은 곳을 알아요?"
"I have stayed in a traditional Korean house before.","한옥에서 묵은 적이 있어요."
"I have not travelled alone before.","혼자 여행을 한 적이 없어요."
"Where is the best place you have travelled so far?","지금까지 여행한 곳 중에서 어디가 제일 좋았어요?"
"The seafood must be fresh as it is on the coast.","바닷가여서 해물이 신선하겠어요."
"It's been three months since I broke up with my boyfriend.","남자 친구하고 헤어진 지 3개월 됐어요."
"What type of woman do you like?","어떤 여자를 좋아해요?"
"When you meet somebody for the first time, put on a bright smile.","처음 만났을 때 밝게 웃으세요."
"I like animals, but my family doesn't like animals that much.","저는 동물을 좋아하는데 가족들이 동물을 별로 안 좋아해요."
"I have an appointment next Saturday.","다음 주 토요일에 선약이 있는데요."
"I am thinking of meeting him a few times more as he seems to be a nice person.","좋은 분인 것 같아서 몇 번 더 만날까 해요."
"You shouldn't put on any kind of ointment at your own disposal.","그렇게 마음대로 연고를 바르면 안 돼요."
"We are here because my son has a stomachache","우리 아들이 배를 아파해서 왔어요."
"I am here because my eyes are sick.","눈이 아파서 왔는데요."
"Don’t' make the shot hurt.","아프지 않게 놓아 주세요."
"It must have been painful when it got swollen this much.","이렇게 부었는데 많이 아팠겠어요."
"If you don't get treatment like this, you won’t get well soon.","이렇게 치료를 안 받으시면 빨리 안 낫는데요."
"Our appointment date is tomorrow.","우리가 약속한 날은 내일인데요."
"I can't go because I have an appointment.","선약이 있어서 못 가는데요."
"I am going to go shopping with my friend.","친구랑 쇼핑할 건데요."
"We can meet next time.","우리는 다음에 만나도 돼요."
"I'm getting ready to go out.","나가려고 준비하는 중이에요."
"Shall we go to the new restaurant?","새로 생긴 식당에 가 볼까요?"
"I am planning to buy a t-shirt for men.","남자 티셔츠를 하나 사려고 하는데요."
"What kind of colors does the person who receives the gift wear often?","선물 받으시는 분이 무슨 색 옷을 자주 입으시는데요?"
"Please try it on.","한번 입어 보세요."
"Can I try this on?","이거 입어 봐도 돼요?"
"It's on sale at 10% discount only on this weekend. Please by one.","이번 주말에만 10퍼센트 할인하는데 하나 사세요."
"This shop is a bit expensive. Shall we go to another shop?","이 가게는 좀 비싼데 다른 가게에 가 볼까요?"
"Please give it to me.","그것으로 주세요."
"Which one would you like?","어느 것으로 드릴까요?"
"What kind of drinks would you like to have?","음료수는 무엇으로 하시겠어요?"
"I will buy it.","그것으로 살게요."
"My friends from my hometown have decided to come to Korea next week.","다음 주에 고향 친구들이 한국에 오기로 했어요."
"Don’t go to a department store. Go to Itaewon instead.","백화점에 가지 말고 이태원에 가 보세요."
"This is a picture that I took in the amusement park.","놀이공원에서 찍은 사진이야."
"It would be fun if we go to the amusement park.","놀이공원에 가면 재미있을 것 같아."
"Which ride shall we go on first?","놀이 기구는 뭐부터 탈까?"
"Are all these people waiting to ride the roller coaster?","여기 있는 사람들이 다 롤러코스터 타려고 기다리는 사람들이야?"
"This is my first time to go on this scary ride.","이렇게 무서운 놀이 기구는 태어나서 처음 타 봤어."
"Let's take a picture together here.","우리 여기에서 같이 사진 한 장 찍자."
"How did you spend your vacation?","방학 때 뭐 하고 지냈어?"
"Are you going to attend the professor's lecture again?","그 교수님 강의를 또 들을 거야."
"Which club are you going to join?","무슨 동아리에 들 거야?"
"Since the exam is over, please come over to my house.","시험이 끝났으니까 오늘 우리 집에 놀러 와."
"Let's not take the class with so many assignments.","이렇게 과제가 많은 수업은 듣지 말자."
"Don't drink coffee too much.","커피를 너무 많이 마시지 마."
"The sky is really hazy.","하늘이 정말 뿌옇다."
"You are going on hiking to watch the autumn leaves.","단풍놀이 가는구나."
"It looks like it's going to shower any minute.","곧 소나기가 오겠다."
"When are you coming back home?","언제 집에 들어올래?"
"It's so hot that I will take a rest at home. ","너무 더워서 집에서 쉴래."
"It snows a lot. So, how about meeting next time?","눈이 많이 오는데 다음에 만나는 게 어때요?"
"It would be better to reserve one.","예약하고 가시는 게 좋겠어요."
"I am going to watch the movie once more. Would you like to come with me?","영화를 한 번 더 보려고 하는데 같이 보러 갈래요?"
"New episodes are released every Monday.","매주 월요일마다 새 이야기가 올라와요."
"I underline every sentence that I like.","마음에 드는 문장마다 밑줄을 그어요."
"Whenever I read this author's work, it always feels new.","이 작가의 작품은 읽을 때마다 새로워요."
"I wish the next work would be released quickly.","다음 작품도 빨리 나왔으면 좋겠어요."
"Please make sure to bring your ID.","신분증을 꼭 가지고 오세요."
"When I went to the exhibition, there were a lot of familiar paintings that I knew about.","전시회에 가 보니까 제가 아는 그림들도 많이 있었어요."
"I am going to go to a fashion show this weekend. Will you come with me?","이번 주말에 패션쇼에 갈 건데 같이 갈래?"
"Not only the music of the movie but also the actors' acting was great.","영화 음악뿐만 아니라 배우들의 연기도 훌륭했어."
"Do you know what kind of movies are popular in theaters these days?","요즘 극장에서 무슨 영화가 인기가 많은지 알아요?"
"Let's just watch movies at home this weekend.","그냥 이번 주말에는 집에서 영화나 보자."
"I don’t know how to play bowling.","저는 볼링을 어떻게 치는지 몰라요."
"Why don't we go to a karaoke place?","노래방에 가지 않을래요?"
"I was drawing a picture.","그림을 그리고 있었어요."
"Is it very hot over there?","저기는 많이 뜨겁니?"
"How about eating something while we watch the game?","뭐 먹으면서 볼까?"
"Finding time is not easy.","시간을 내기가 쉽지 않네."
"By any chance, isn't it true that you are interested in Ms. Seoyon?","혹시 서연 씨에게 관심 있는 거 아니에요?"
"I don't feel awkward though it’s been a while since I met them last time.","오랜만에 만나도 어색하지 않은 것 같아요."
"It's OK for you to pay the membership fee online and join it.","인터넷으로 회비를 내고 가입하면 돼요."
"I feel so sorry that you have decided to go back to your hometown.","네가 고향으로 돌아가게 돼서 너무 섭섭하다."
"How many freshmen came?","신입생이 몇 명이나 왔어요?"
"Together we practice Korean language and we also go hiking.","같이 한국말을 연습하기도 하고 등산을 가기도 해요."
"You must feel good that you passed the driver's license test.","운전면허 시험에 붙어서 좋겠네요."
"Why don’t you buy a used car instead of a new one?","새 차 말고 중고차를 사는 게 어때?"
"I don’t' have to go to the hospital.","병원에 가지 않아도 돼요."
"It seems that is the only space available.","저기밖에 없는 것 같아요."
"It seem that I have a flat tire, but I don’t know what to do.","타이어가 펑크 난 것 같은데 어떻게 해야 할지 모르겠어요."
"I couldn't do anything all day yesterday.","어제 하루 종일 아무 일도 못 했어요."
"We throw a congratulatory party or send them on a trip.","축하 잔치를 하거나 여행을 보내 드려요."
"He is not the guy but one that I met recently on a blind date.","그 사람이 아니라 얼마 전에 소개팅을 해서 만난 사람이야."
"The baby looks really pretty like a doll.","아기가 정말 인형처럼 예쁘네요."
"I will go traveling with the prize money.","그 상금을 가지고 여행 갈 거야."
"Any time this week is fine with me.","난 이번 주에는 아무 때나 괜찮아."
"No matter how capable you are, it is absolutely necessary to have a good relationship with others.","아무리 능력이 있어도 인간관계가 좋지 않으면 안 돼요."
"What should I do as I have to make a presentation?","발표를 해야 하는데 어떻게 하지요?"
"Anybody can make such mistake.","누구든지 그런 실수를 할 수 있어요."
"I took a wrong bus, so I went somewhere else.","내가 버스를 잘못 타 가지고 다른 곳으로 갔어."
"You can bring it while we are preparing other things.","우리가 다른 것을 준비하는 동안 가지고 오면 될 것 같아."
"Why don’t you give her a present even now?","지금이라도 선물하지 그래요?"
"I should have stir-fried carrots before I put them in the dish, but I put them without stir-frying them.","요리에 당근을 볶아 가지고 넣어야 되는데 그냥 넣었어."
"Please leave the package at the janitor's office.","물건을 경비실에다가 맡겨 주세요."
"Can I exchange it for a different color?","다른 색으로 바꿀 수 있을까요?"
"Internet shopping malls are cheaper compared to the department stores.","백화점에 비해서 인터넷 쇼핑몰이 값이 싸."
"It's been several months since I visited this shopping mall site last time, so I can't remember them.","이 쇼핑몰 사이트에 몇 달 만에 들어가서 기억이 안 나."
"This is an on-sale item, so you can’t get a refund.","이것은 세일 상품이라서 환불이 안 됩니다."
"How convenient it is as they deliver things to your home.","집까지 배달해 주니까 얼마나 편한지 몰라요."
"I should have them repaired.","수선을 맡겨야겠어요."
"Why don’t you turn off the power of the product and turn it on again?","제품 전원을 한번 껐다가 켜 보시겠어요?"
"The sound is not heard very well and additionally the phone is suddenly cut off.","소리가 잘 안 들리는 데다가 갑자기 전화가 끊어져요."
"I don’t know whether it can be fixed today because the reception time is late.","접수 시간이 늦어서 오늘 고칠 수 있을지 모르겠습니다."
"I will contact you as soon as the repair is done.","수리가 끝나는 대로 연락드리겠습니다."
"I dropped my cellphone while I was taking it out from my pocket, so the LCD panel is broken.","주머니에서 핸드폰을 꺼내다가 떨어뜨려서 액정이 깨졌어요."
"Just pretend you know it even though you don't know it very well.","잘 몰라도 알고 있는 척해."
"It is important to know about the company you are applying for and the work you are going to do.","지원한 회사와 하는 일에 대해서 잘 알고 있는 게 중요해."
"I will work hard for the advancement of the company.","회사의 발전을 위해서 열심히 노력하겠습니다."
"I did various kinds of part-time jobs to accumulate diverse experiences.","다양한 경험을 쌓기 위해서 아르바이트를 여러 가지 했습니다."
"I thought a good command of foreign languages is required for improving my competitiveness. ","외국어를 잘해야 경쟁력이 있을 것 같았습니다."
"I don't have prior experience of doing the same work, but I have done similar works before.","같은 일을 한 경험은 없습니다만 비슷한 일을 한 적이 있습니다."
"There are many people who exchange money these days maybe because many people go travelling abroad.","해외여행을 가는 분들이 많아서 그런지 요즘 환전하는 분들이 많으세요."
"What do I need to open an account?","계좌를 만들려면 뭐가 필요합니까?"
"Where are books on the Korean history?","한국 역사에 대한 책은 어디에 있습니까?"
"You have to first register as a member to borrow books.","대출을 하기 위해서는 먼저 회원 가입을 하셔야 합니다."
"Does it take a month (that long)?","한 달이나 걸려요?"
"Will it arrive tomorrow?","내일 도착하나요?"
"Go on a domestic trip at least.","국내 여행이라도 가."
"Nothing is more comfortable than to rest at home.","집에서 쉬는 것만큼 편한 것은 없지요."
"I (mistakenly) thought you (General Manager) would leave for a holiday tomorrow.","저는 부장님이 내일 휴가 가시는 줄 알았어요."
"I will work as an intern at a company as soon as the vacation starts.","방학하자마자 회사에서 인턴을 할 거야."
"Professor Kim's class is so popular that it would be closed quickly.","김 교수님 수업은 인기가 많아서 빨리 마감될걸요."
"I haven't decided whether I do a part-time job or do some volunteer activities.","나는 아르바이트를 할지 봉사 활동을 할지 고민 중이야."
"You hair might be damaged a little bit.","머리카락이 좀 상할지도 몰라요."
"You look much younger.","훨씬 젊어 보여요."
"(You might no know) But I am a little bit busy today.","제가 오늘은 좀 바쁘거든요."
"At your shoe repair shop, I guess you are fixing bags, too.","구둣방에서 가방도 고치나 봐요."
"It surely is difficult to clean these things at home.","이런 것들은 집에서 세탁하기 힘들잖아요."
"My kid tends to wear his/her shoes roughly.","우리 아이가 신발을 험하게 신는 편이에요."
"The male actor said in an interview that they were just friends.","남자 배우가 인터뷰에서 그냥 친구 사이라고 했어요."
"It is said that they are not an easy opponent.","쉬운 상대가 아니라고 해요."
"All of my friends said it was fun.","제 친구들도 다 재미있다고 했어요."
"They said they are going to send the winner to a famous culinary school for study for one year.","유명한 요리 학교로 1년 동안 연수를 보내 준다고 했어요."
"The main male character asked the female main character to break up.","남자 주인공이 여자 주인공에게 헤어지자고 했어요."
"My daughter told me not to go to the zoo any more.","제 딸이 이제 동물원에 가지 말자고 했어요."
"They said the Kimchi stew was really delicious.","김치찌개가 참 맛있었다고 했어요."
"I will buy seasoning for Korean grilled marinated beef at the supermarket and then put it in the dish.","마트에서 불고기 양념을 사다가 넣을래요."
"My friends said they would soon arrive at my house.","친구들이 곧 우리 집에 도착할 거라고 했어요."
"What is the food that you used to eat in your hometown?","고향에서 자주 먹던 음식이 뭐예요?"
"Other people also ask what is the secret. ","다른 분들도 비법이 뭐냐고 해요."
"The ramen that you cooked last time was really delicious.","지난번에 네가 끓여 줬던 라면도 정말 맛있었어."
"I remember I gained two or three kilograms after eating a lot for only about two days.","저는 한 이틀만 많이 먹어도 2, 3킬로그램(kg)이 찌던데요."
"The doctor told me to eat less salty food.","의사 선생님이 음식을 싱겁게 먹으라고 했어요."
"My roommate doesn't change even though I talk every time.","내가 매번 이야기하는데도 룸메이트가 달라지지 않아."
"I told him/her not to look at the cellphone when the family is talking together. ","가족들이 같이 이야기할 때는 핸드폰을 보지 말라고 했어요."
"I found out that almost all of my friends now have gray hair.","제 친구들도 이제 거의 다 흰머리가 났던데요."
"I want to get a job. But I am worried that I might not get a job.","취직하고 싶은데 취직을 못 할까 봐 걱정이야."
"There continue to be recyclable garbage bins separately placed.","재활용 쓰레기통이 따로 놓여 있어요."
"I admit that it's a bit bothersome, but it's good to use tumblers for environment.","조금 귀찮기는 한데 환경을 위해서 텀블러를 사용하는 게 좋을 것 같아요."
"I will tell you the second-hand store that I go to often, so you should try it.","내가 자주 가는 중고품 가게를 알려 줄 테니까 너도 한번 가 봐."
"The more people use public transportation, the cleaner the air will be.","대중교통을 이용하는 사람이 많으면 많을수록 공기가 깨끗해질 거예요."
"I heard that there are restaurants where you have to pay a fine for leaving food. (Is it true?)","요즘 음식을 남기면 벌금을 내야 하는 식당이 있다면서요?"
"It's difficult to change your daily habits all of a sudden, so try them one by one.","생활 습관을 갑자기 모두 바꾸려면 힘들 테니까 하나씩 해 보세요."
"He asked me to return all the gifts that he has given to me.","자기가 준 선물을 다 달라고 했어요."
"My girlfriend told me to buy just a small gift.","여자 친구가 그냥 작은 선물을 사 달라고 했어요."
"You didn’t answer the phone last night. (Considering this) Did you go to bed early?","어젯밤에 전화를 안 받던데 일찍 잤어?"
"Thanks to your wake-up call in the morning, I wasn't late.","네가 아침에 전화로 깨워 준 덕분에 늦지 않았어."
"It will take long to go there because it's far, so why don't we eat somewhere near here?","거긴 멀어서 가려면 오래 걸릴 텐데 그냥 이 근처에서 먹는 게 어때?"
"We'd better get married after you graduate from a graduate school.","네가 대학원을 졸업하고 나서 결혼하는 게 좋을 것 같아."
"10 people.","10명요."
"The meeting is cancelled.","모임이 취소돼서요."
"When is the guest coming?","손님은 언제 오신대요?"
"We're in a rush but what is the quickest food that can be prepared?","저희가 급해서 그런데 제일 빨리 되는 음식이 뭐예요?"
"It seems like it will be spicy, but we want to eat something that isn't spicy.","매울 것 같아서 안 매운 걸로 먹으려고요."
"It's a relief that you've enjoyed your meal.","맛있게 드셨다니 다행이네요."
"I also went to book a train ticket but it was all sold out.","나도 기차표 예매하러 갔었는데 이미 매진됐던데."
"We can't go empty handed so we have to prepare something.","빈손으로 갈 수는 없으니까 준비해야지."
"I prepared all the ingredients.","재료는 여기 내가 다 준비해 놨어."
"It must have been tiring coming from such a long way.","먼 길 오느라고 힘들었을 텐데 좀 쉬어라."
"I hope you will pass this exam.","이번 시험에 꼭 합격하기 바라."
"Are they speaking like that because they're worried?","걱정돼서 그렇게 말씀하시는 거 아닐까?"
"It depends on the deposit, but it usually costs about 400,000 won or 500,000 won.","보증금에 따라 다르지만 대략 4,50만 원 정도 해요."
"You want to raise the deposit?","보증금을 더 올린다고요?"
"It's because the house is southbound.","집이 남향이라서 그래요."
"Instead of painting the whole room, he says he will only put a new wallpaper on the dirty wall.","방 전체를 도배하는 대신 더러운 벽만 새 벽지를 붙여 주겠다고 하는데요."
"I am thinking of moving next week.","다음 주쯤 이사할 생각이에요."
"The boss seemed very kind.","사장님이 되게 친절하더라."
"You can definitely observe some ceramics as well as have experience in making ceramics.","도자기 구경은 물론이고 도자기 만드는 체험도 할 수 있어."
"It will be good to bring extra clothes to wear because it might get dirty.","옷이 더러워질 수 있다고 하니까 갈아입을 옷이 있으면 좋아."
"Well sure, it's not easy for an office worker to get up early on the weekend.","하긴 회사원이 주말에도 일찍 일어나기란 쉬운 일이 아니지."
"You have to make this part thicker or it will break when you bake it.","이 부분은 두껍게 만들어야지 그렇지 않으면 구울 때 깨질 수 있어요."
"It looks like a wine bottle because there is a wine glass next to it.","옆에 술잔이 있는 걸 보면 술병인 거 같아."
"So, you've made pottery?","도자기를 만들어 봤단 말이야?"
"I think, last time, I read about what to do when my phone screen does not show up.","전에 핸드폰 화면이 안 나올 때 어떻게 하는지 읽었던 것 같아요."
"It's too expensive to repair. Instead, just change it for a new one.","수리비가 너무 비싸거든 차라리 새것으로 바꾸세요."
"I changed it because new models have many features.","새 모델이 기능도 다양하고 해서 바꿨어요."
"Then, this silver cell phone would be nice.","그럼, 이 은색 핸드폰이 좋겠군요."
"I've heard that this product has difficulty in downloading files, is this true?","이 제품은 파일을 다운로드하는 게 어렵다고 하던데 정말 그런가요?"
"I have been busy working these days and did not even think about buying a case.","요즘 일하느라고 바빠서 케이스 살 생각도 못 했어요."
"I am tired. But, I can still earn pocket money.","힘들지. 그래도 용돈을 벌 수 있잖아."
"Do a part-time job at a convenience store or restaurant.","편의점이나 식당 같은 데서 하지."
"It seems like a job to do to use the free time to work and still be able to take classes.","공강 시간을 활용해서 일을 하는 거라서 수업을 들으면서 할 만해."
"I'm from China.","중국에서 왔어요."
"It's a little troubling to have to change the schedule so suddenly.","이렇게 갑작스럽게 스케줄을 변경하시면 좀 곤란한데요."
"Do my part-time job instead of me.","나 대신에 아르바이트 좀 해 줘."
"Will you marry me?","나랑 결혼해 줄래?"
"I am Kim Woobin.","김우빈이라고 합니다."
"You need to deposit 10,000,000 won for the down payment.","계약금 천만 원을 입금하래."
"Is the wedding planning going well?","결혼 준비는 잘돼 가?"
"I was just about to contact you because you didn't come.","네가 안 와서 안 그래도 연락하려던 참이었어."
